episode,contact,landed,landing_x,landing_y,prediction_error,reward,episode_time,perceiver,predictor,spin,aimer,swing,control
67,False,False,,,,0.1983006422851966,1.864,sim,neural_ode,zero,face_net,lerp,reactive
68,False,False,,,,0.18450966343110228,1.496,sim,neural_ode,zero,face_net,lerp,reactive
69,True,False,,,,1.9890119317502257,2.016,sim,neural_ode,zero,face_net,lerp,reactive
70,False,False,,,,0.18473420574681257,1.44,sim,neural_ode,zero,face_net,lerp,reactive
71,False,False,,,,0.1978324565359565,1.76,sim,neural_ode,zero,face_net,lerp,reactive
72,False,False,,,,0.19203672518032563,1.168,sim,neural_ode,zero,face_net,lerp,reactive
73,False,False,,,,0.1894210762671318,1.328,sim,neural_ode,zero,face_net,lerp,reactive
74,False,False,,,,0.19174350072305865,1.56,sim,neural_ode,zero,face_net,lerp,reactive
75,False,False,,,,0.1895220483410468,1.36,sim,neural_ode,zero,face_net,lerp,reactive
76,False,False,,,,0.19437895049808596,1.344,sim,neural_ode,zero,face_net,lerp,reactive
77,False,False,,,,0.18133404161367211,1.56,sim,neural_ode,zero,face_net,lerp,reactive
78,False,False,,,,0.17837219161468362,1.56,sim,neural_ode,zero,face_net,lerp,reactive
79,False,False,,,,0.19642781549830635,1.52,sim,neural_ode,zero,face_net,lerp,reactive
80,False,False,,,,0.1738797460643534,1.008,sim,neural_ode,zero,face_net,lerp,reactive
81,False,False,,,,0.18527996853316123,1.56,sim,neural_ode,zero,face_net,lerp,reactive
82,False,False,,,,0.1855470438473722,1.6400000000000001,sim,neural_ode,zero,face_net,lerp,reactive
83,False,False,,,,0.17618322586112423,1.56,sim,neural_ode,zero,face_net,lerp,reactive
84,False,False,,,,0.18049902127381579,1.56,sim,neural_ode,zero,face_net,lerp,reactive
85,False,False,,,,0.18818988590289665,1.36,sim,neural_ode,zero,face_net,lerp,reactive
86,False,False,,,,0.19209097364983102,1.288,sim,neural_ode,zero,face_net,lerp,reactive
87,False,False,,,,0.13784817023625842,1.56,sim,neural_ode,zero,face_net,lerp,reactive
88,False,False,,,,0.19731659130561355,1.352,sim,neural_ode,zero,face_net,lerp,reactive
89,False,False,,,,0.19677486785592047,1.544,sim,neural_ode,zero,face_net,lerp,reactive
90,False,False,,,,0.17710045291996046,2.16,sim,neural_ode,zero,face_net,lerp,reactive
91,False,False,,,,0.18317222720967538,1.744,sim,neural_ode,zero,face_net,lerp,reactive
92,False,False,,,,0.19720527127512505,1.56,sim,neural_ode,zero,face_net,lerp,reactive
93,False,False,,,,0.1640923677105906,1.56,sim,neural_ode,zero,face_net,lerp,reactive
94,False,False,,,,0.19231889115534573,1.336,sim,neural_ode,zero,face_net,lerp,reactive
95,True,False,,,,1.983910012338751,1.776,sim,neural_ode,zero,face_net,lerp,reactive
96,True,False,,,,1.9861341887201078,1.336,sim,neural_ode,zero,face_net,lerp,reactive
97,False,False,,,,0.19624081761379236,1.448,sim,neural_ode,zero,face_net,lerp,reactive
98,False,False,,,,0.15315892101017972,1.56,sim,neural_ode,zero,face_net,lerp,reactive
99,False,False,,,,0.17240330932854753,1.56,sim,neural_ode,zero,face_net,lerp,reactive
